compiler,tag,flags,target,run,time_ms
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",sisd,4,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",sisd,5,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",sisd,6,70.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",sisd,7,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",sisd,8,70.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",sisd,9,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",sisd,10,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",simd,1,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",simd,2,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",simd,3,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",simd,4,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",simd,5,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",simd,6,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",simd,7,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",simd,8,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",simd,9,60.000
gcc,gcc_O2_native,"-O2 -march=native -mtune=native",simd,10,60.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",sisd,1,60.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",sisd,2,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",sisd,3,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",sisd,4,60.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",sisd,5,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",sisd,6,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",sisd,7,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",sisd,8,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",sisd,9,60.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",sisd,10,60.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",simd,1,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",simd,2,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",simd,3,80.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",simd,4,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",simd,5,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",simd,6,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",simd,7,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",simd,8,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",simd,9,50.000
gcc,gcc_O3_native,"-O3 -march=native -mtune=native",simd,10,50.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",sisd,1,60.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",sisd,2,60.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",sisd,3,60.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",sisd,4,60.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",sisd,5,60.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",sisd,6,70.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",sisd,7,50.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",sisd,8,60.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",sisd,9,60.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",sisd,10,60.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",simd,1,50.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",simd,2,50.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",simd,3,50.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",simd,4,50.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",simd,5,50.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",simd,6,90.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",simd,7,50.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",simd,8,50.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",simd,9,50.000
gcc,gcc_Ofast_native,"-Ofast -march=native -mtune=native",simd,10,50.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",sisd,1,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",sisd,2,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",sisd,3,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",sisd,4,70.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",sisd,5,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",sisd,6,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",sisd,7,70.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",sisd,8,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",sisd,9,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",sisd,10,70.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",simd,1,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",simd,2,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",simd,3,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",simd,4,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",simd,5,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",simd,6,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",simd,7,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",simd,8,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",simd,9,60.000
gcc,gcc_O2_unroll,"-O2 -funroll-loops",simd,10,60.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",sisd,1,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",sisd,2,60.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",sisd,3,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",sisd,4,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",sisd,5,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",sisd,6,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",sisd,7,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",sisd,8,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",sisd,9,60.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",sisd,10,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",simd,1,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",simd,2,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",simd,3,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",simd,4,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",simd,5,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",simd,6,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",simd,7,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",simd,8,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",simd,9,50.000
gcc,gcc_O3_unroll,"-O3 -funroll-loops",simd,10,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",sisd,1,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",sisd,2,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",sisd,3,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",sisd,4,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",sisd,5,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",sisd,6,60.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",sisd,7,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",sisd,8,50.000
